occ_year,occ_hour,premises_type,age_cohort
2014,18,Apartment,65 and above
2014,12,House,25 to 34
2014,16,Commercial,45 to 54
2014,11,House,45 to 54
2014,6,Apartment,35 to 44
2014,9,Apartment,25 to 34
2014,7,Other,65 and above
2014,8,Commercial,65 and above
2014,12,Apartment,45 to 54
2014,20,Apartment,25 to 34
2014,17,Commercial,Not Recorded
2014,15,Outside,55 to 64
2014,17,Commercial,35 to 44
2014,15,Apartment,35 to 44
2014,23,Apartment,25 to 34
2014,17,Other,55 to 64
2014,13,Other,65 and above
2014,10,Apartment,45 to 54
2014,17,House,25 to 34
2014,10,Apartment,55 to 64
2014,9,House,25 to 34
2014,11,House,45 to 54
2014,12,Apartment,65 and above
2014,9,Other,25 to 34
2014,2,Apartment,25 to 34
2014,9,Apartment,65 and above
2014,11,Other,65 and above
2014,9,House,25 to 34
2014,11,Apartment,25 to 34
2014,21,Other,35 to 44
2014,14,House,45 to 54
2014,23,House,18 to 24
2014,23,Outside,25 to 34
2014,1,Apartment,18 to 24
2014,12,Apartment,45 to 54
2014,12,Apartment,35 to 44
2014,21,Apartment,25 to 34
2014,16,Apartment,45 to 54
2014,12,House,35 to 44
2014,14,Other,35 to 44
2014,10,House,45 to 54
2014,11,Educational,18 to 24
2014,13,Apartment,35 to 44
2014,12,House,25 to 34
2014,2,Apartment,55 to 64
2014,14,Other,35 to 44
2014,10,Apartment,Not Recorded
2014,20,Apartment,25 to 34
2014,10,Apartment,55 to 64
2014,15,Apartment,18 to 24
2014,9,House,65 and above
2014,17,Commercial,45 to 54
2014,18,Commercial,45 to 54
2014,11,Apartment,25 to 34
2014,20,Apartment,25 to 34
2014,7,Apartment,18 to 24
2014,13,Other,45 to 54
2014,14,Apartment,55 to 64
2014,11,Other,Not Recorded
2014,17,Apartment,35 to 44
2014,10,Other,65 and above
2014,2,Apartment,35 to 44
2014,17,Apartment,25 to 34
2014,11,Apartment,25 to 34
2014,10,Apartment,45 to 54
2014,19,House,55 to 64
2014,9,House,35 to 44
2014,3,Commercial,18 to 24
2014,17,House,65 and above
2014,15,Commercial,35 to 44
2014,14,House,35 to 44
2014,17,Outside,18 to 24
2014,14,Other,35 to 44
2014,20,Outside,35 to 44
2014,8,Apartment,25 to 34
2014,15,Other,25 to 34
2014,17,House,Not Recorded
2014,13,Apartment,45 to 54
2014,18,Other,18 to 24
2014,14,Apartment,25 to 34
2014,1,Apartment,25 to 34
2014,2,Other,35 to 44
2014,18,Outside,18 to 24
2014,23,Other,35 to 44
2014,15,House,25 to 34
2014,23,Apartment,18 to 24
2014,5,Apartment,25 to 34
2014,9,Apartment,18 to 24
2014,18,House,35 to 44
2014,1,Apartment,35 to 44
2014,12,House,45 to 54
2014,10,House,35 to 44
2014,16,Outside,55 to 64
2014,18,Outside,18 to 24
2014,16,Other,45 to 54
2014,15,Commercial,45 to 54
2014,10,Other,35 to 44
2014,20,Apartment,45 to 54
2014,6,Apartment,18 to 24
2014,21,Apartment,35 to 44
2014,12,Other,18 to 24
2014,10,Other,25 to 34
